term,OC_Score,OC1,OC2,OC_US,OC_West_Top,OC_West
Racun 88,0,0,0,0,0,0
Bitgets,0,0,0,0,0,0
Assurances Sante,0,0,1,0.0,0.0,1.0
Cafe Au Lait,16,0,27,0.41,0.26,0.22
Goochie,9,10,0,0.78,0.22,0.0
Fun Foil,0,0,0,0,0,0
And Land,6,8,0,0.67,0.11,0.0
Soccer Stars Academy,14,0,27,0.07,0.93,0.0
Smart ME,2,7,0,0.55,0.14,0.13
SuperManager,0,1,0,0.0,0.0,0.0
Berks,1243,1288,0,0.94,0.06,0.0
Doctor On Demand,12,0,13,0.85,0.0,0.15
Europix,0,1,0,0.0,0.25,0.5
Main Service,6,6,7,0.42,0.04,0.35
Zone 1,39,12,42,0.55,0.27,0.14
Innovation Media,20,0,28,0.64,0.11,0.11
One Player,2,1,3,0.25,0.0,0.5
Decorline,3,19,0,0.11,0.0,0.26
E Nexus,18,29,0,0.48,0.21,0.14
