term,final_term,score
ScorePlus.com,Score Plus,4
Inama.com,Inama,2
BlessThisNest.com,Bless This Nest,3
LifeTastesGood.com,Life Tastes Good,2
BellaCasa.net,Bella Casa,8
StateOfMind.net,State Of Mind,5
Southway.net,Southway,7
CustomJerseys.org,Custom Jerseys,1
SolarFund.org,Solar Fund,1
ToyBarn.org,Toy Barn,4
SuiZhou.org,Sui Zhou,0
LemonWater.org,Lemon Water,0
icdrama.org,icdrama.org,0
